NCB,ISIN,ISSUER
BE,BE0002239086,Elia Transmission Belgium
BE,BE0002256254,Enodia SCRL
BE,BE0002276450,Elia Transmission Belgium
BE,BE0002280494,Groupe Bruxelles Lambert SA
BE,BE0002285543,Fluvius System Operator CVBA
BE,BE0002420926,Fluvius System Operator CVBA
BE,BE0002432079,Elia Transmission Belgium
BE,BE0002433085,Elia Transmission Belgium
BE,BE0002443183,Fluvius System Operator CVBA
BE,BE0002448232,Fluvius System Operator CVBA
BE,BE0002466416,Elia Transmission Belgium
BE,BE0002470459,Fluvius System Operator CVBA
BE,BE0002478536,Fluvius System Operator CVBA
BE,BE0002481563,Fluvius System Operator CVBA
BE,BE0002584622,BEFIMMO SA
BE,BE0002595735,Groupe Bruxelles Lambert SA
BE,BE0002596741,Elia Group SA
BE,BE0002629104,Elia Transmission Belgium
BE,BE0002755362,Fluvius System Operator CVBA
BE,BE0002767482,Groupe Bruxelles Lambert SA
BE,BE6228266902,Fluvius System Operator CVBA
BE,BE6243179650,Anheuser-Busch InBev N.V./S.A.
BE,BE6248644013,Anheuser-Busch InBev N.V./S.A.
BE,BE6256887967,Brussels Airport Company SA/NV
BE,BE6257983286,Apetra N.V.
BE,BE6265142099,Anheuser-Busch InBev N.V./S.A.
BE,BE6276040431,Anheuser-Busch InBev N.V./S.A.
BE,BE6285455497,Anheuser-Busch InBev N.V./S.A.
BE,BE6285457519,Anheuser-Busch InBev N.V./S.A.
BE,BE6286963051,Barry Callebaut Services N.V
BE,BE6295011025,Brussels Airport Company SA/NV
BE,BE6301509012,Anheuser-Busch InBev N.V./S.A.
BE,BE6301510028,Anheuser-Busch InBev N.V./S.A.
BE,BE6301511034,Anheuser-Busch InBev N.V./S.A.
BE,BE6312821612,Anheuser-Busch InBev N.V./S.A.
BE,BE6312822628,Anheuser-Busch InBev N.V./S.A.
BE,BE6315847804,Solvay S.A.
BE,BE6320934266,Anheuser-Busch InBev N.V./S.A.
BE,BE6320935271,Anheuser-Busch InBev N.V./S.A.
BE,BE6320936287,Anheuser-Busch InBev N.V./S.A.
BE,BE6321076711,Lonza Finance International NV
BE,BE6321529396,Elia Transmission Belgium
BE,BE6321718346,ENI Finance International S.A.
BE,BE6327721237,VGP NV
BE,DE000A181034,JAB Holdings B.V.
BE,DE000A1919G4,JAB Holdings B.V.
BE,DE000A1919H2,JAB Holdings B.V.
BE,DE000A19HCW0,JAB Holdings B.V.
BE,DE000A19HCX8,JAB Holdings B.V.
BE,DE000A1Z0TA4,JAB Holdings B.V.
BE,DE000A1Z6C06,JAB Holdings B.V.
BE,DE000A1ZSAF4,JAB Holdings B.V.
BE,DE000A28V301,JAB Holdings B.V.
BE,DE000A28V319,JAB Holdings B.V.
BE,DE000A2SBDE0,JAB Holdings B.V.
BE,DE000A2SBDF7,JAB Holdings B.V.
BE,DE000A3KNP88,TRATON Finance Luxemburg SA
BE,DE000A3KNP96,TRATON Finance Luxemburg SA
BE,DE000A3KNQA0,TRATON Finance Luxemburg SA
BE,ES0305523005,SIX Finance (Luxembourg) S.A.
BE,FR0013245586,"Stellantis N.V, Amsterdam"
BE,PTBSSIOM0015,"Brisa - Concessão Rodoviária, SA"
BE,PTBSSJOM0014,"Brisa - Concessão Rodoviária, SA"
BE,PTBSSLOM0002,"Brisa - Concessão Rodoviária, SA"
BE,PTEDPNOM0015,EDP - Energias de Portugal SA
BE,PTMTLBOM0007,Metropolitano de Lisboa
BE,PTMTLCOM0006,Metropolitano de Lisboa
